date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:43	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:43%20GMT	http://127.0.0.1:5000/robots.txt		(from )
18:05:43	3394/3394	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:43%20GMT	http://127.0.0.1:5000/	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/index.html	(from )
18:05:43	3136/3136	---M--	200	added ('OK')	image/png	date:Thu,%2023%20May%202024%2010:11:31%20GMT	http://127.0.0.1:5000/static/apple-icon-180x180.png	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/apple-icon-180x180.png	(from http://127.0.0.1:5000/)
18:05:44	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:44%20GMT	http://127.0.0.1:5000/static/favicon.ico	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/favicon.1.delayed	(from http://127.0.0.1:5000/)
18:05:46	85053/85053	---M--	200	added ('OK')	text/css	date:Thu,%2023%20May%202024%2010:11:31%20GMT	http://127.0.0.1:5000/static/css/main.550dcf66.css	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/main.550dcf66.css	(from http://127.0.0.1:5000/)
18:05:47	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:44%20GMT	http://127.0.0.1:5000/first.html	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/first.3.delayed	(from http://127.0.0.1:5000/)
18:05:47	3394/3394	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:47%20GMT	http://127.0.0.1:5000/first	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/first-2.html	(from http://127.0.0.1:5000/)
18:05:47	1640/1640	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:47%20GMT	http://127.0.0.1:5000/login	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/login.html	(from http://127.0.0.1:5000/)
18:05:47	1707/1707	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:47%20GMT	http://127.0.0.1:5000/abstract	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/abstract.html	(from http://127.0.0.1:5000/)
18:05:47	2877/2877	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:47%20GMT	http://127.0.0.1:5000/upload	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/upload.html	(from http://127.0.0.1:5000/)
18:05:47	5938/5938	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:47%20GMT	http://127.0.0.1:5000/home	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/home.html	(from http://127.0.0.1:5000/)
18:05:48	1046/1046	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:48%20GMT	http://127.0.0.1:5000/chart	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/chart.html	(from http://127.0.0.1:5000/)
18:05:48	2128/2128	---M--	200	added ('OK')	text/html	date:Thu,%2023%20May%202024%2012:35:48%20GMT	http://127.0.0.1:5000/future	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/future.html	(from http://127.0.0.1:5000/)
18:05:49	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:49%20GMT	http://127.0.0.1:5000/static/css/assets/images/wave-footer.svg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/assets/images/wave-footer.d.delayed	(from http://127.0.0.1:5000/static/css/main.550dcf66.css)
18:05:49	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:49%20GMT	http://127.0.0.1:5000/static/css/assets/images/wave-header.svg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/assets/images/wave-header.e.delayed	(from http://127.0.0.1:5000/static/css/main.550dcf66.css)
18:05:50	207/207	---M--	404	error ('NOT%20FOUND')	text/html	date:Thu,%2023%20May%202024%2012:35:50%20GMT	http://127.0.0.1:5000/static/css/styles.css	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/styles.10.delayed	(from http://127.0.0.1:5000/login)
18:05:50	56517/56517	---M--	200	added ('OK')	text/css	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/vendor/fontawesome-free/css/all.min.css	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/fontawesome-free/css/all.min.css	(from http://127.0.0.1:5000/upload)
18:05:54	147898/147898	---M--	200	added ('OK')	text/css	date:Thu,%2023%20May%202024%2010:11:31%20GMT	http://127.0.0.1:5000/static/css/freelancer.min.css	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/css/freelancer.min.css	(from http://127.0.0.1:5000/upload)
18:06:00	59603/59603	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/images/so.jpeg	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/images/so.jpeg	(from http://127.0.0.1:5000/login)
18:06:05	96084/96084	---M--	200	added ('OK')	image/jpeg	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/images/sa.JPEG	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/images/sa.JPEG	(from http://127.0.0.1:5000/static/css/main.550dcf66.css)
18:06:05	2532/2532	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/jquery-easing/jquery.easing.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/jquery-easing/jquery.easing.min.js	(from http://127.0.0.1:5000/upload)
18:06:07	142321/142321	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/js/main.0cf8b554.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/js/main.0cf8b554.js	(from http://127.0.0.1:5000/)
18:06:08	2807/2807	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/js/contact_me.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/js/contact_me.js	(from http://127.0.0.1:5000/upload)
18:06:09	1425/1425	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/js/freelancer.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/js/freelancer.min.js	(from http://127.0.0.1:5000/upload)
18:06:09	88145/88145	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:33%20GMT	http://127.0.0.1:5000/static/vendor/jquery/jquery.min.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/vendor/jquery/jquery.min.js	(from http://127.0.0.1:5000/upload)
18:06:11	36180/36180	---M--	200	added ('OK')	application/javascript	date:Thu,%2023%20May%202024%2010:11:32%20GMT	http://127.0.0.1:5000/static/js/jqBootstrapValidation.js	C:/My%20Web%20Sites/Duct%20Carcinoma/127.0.0.1_5000/static/js/jqBootstrapValidation.js	(from http://127.0.0.1:5000/upload)
